"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","V18.1","V19.1","V20.1","V21.1","V22.1","V23.1","V24.1"
"1","miRNA_ID","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin"
"22","hsa-mir-106a","58.278329","30.962801","64.182071","89.080194","54.831397","37.493029","15.990707","10.984469","43.561237","26.095485","49.704531","13.474626","28.299059","145.302672","15.504278","56.896013","4.856568","34.579757","6.05844","93.263819","32.906431","49.525206","25.045488","72.755189","4.234043","3.764705","241.741306","73.413572","356.813463","76.604889","15.265903","2.970377","91.088232","59.135831","4.955024","24.790898","104.030295","6.005444","121.488827","382.205919","27.931885","6.704075","11.50218","22.473841","49.553503","281.262323"
"23","hsa-mir-106b","4883.508096","3401.692914","3106.190896","4843.389101","5263.972091","4764.739056","1422.586126","3781.861254","3972.318079","4006.543633","2934.383745","5900.714272","1360.927489","4410.600516","3756.194857","1761.359591","2350.57879","4599.562627","3859.226095","3294.097661","5250.463792","2525.986808","2548.330623","1541.970963","459.269129","1351.727286","628.634124","2151.102706","1127.118338","873.047169","410.529017","698.484053","1005.812463","1600.040959","1155.663973","633.121403","981.80392","475.097358","1788.379196","1011.062059","1914.338203","597.272173","1062.341356","615.386649","542.958402","1384.110899"
"24","hsa-mir-107","57.1991","204.170551","53.853921","440.650024","384.135807","89.827048","95.944243","216.485583","201.626297","311.118982","238.945035","271.835924","156.814209","223.944748","192.290857","75.42498","216.441036","187.155349","122.683404","123.984578","567.321253","103.747924","294.045502","138.297579","94.892374","92.928774","90.18605","199.265411","138.796573","82.028244","76.742108","104.111699","115.606613","172.644876","112.440921","162.094335","240.62409","41.103929","170.296565","158.997662","632.027356","63.079255","199.677847","97.827308","217.945723","125.697586"
"25","hsa-mir-10a","31939.76179","272549.5989","221860.1735","98817.64849","488.268056","50502.32847","328417.1444","2646.341737","3349.236815","2070.410685","719.477207","1748.186198","278287.3363","1346.827239","376.451423","211649.645","1685.390894","637.602179","1531.270637","213142.5856","976.583748","1370.599999","255382.9159","39020.92841","5005.884074","2980.457614","3876.932863","37100.78181","58586.00106","21951.02936","5617.85236","52392.09624","157160.3104","10111.03645","34194.61808","12060.77203","19817.91529","11672.44813","31735.64031","9197.91285","12164.79228","107856.8412","16801.92464","10200.47988","38880.32852","23116.53668"
"26","hsa-mir-10b","176.993443","114.19449","92.768912","542.003489","58.465754","58.582857","351.942262","1709.000354","1326.439664","2600.174358","187.919454","3587.765509","199.379736","983.025947","43.865761","121.545997","57.469385","609.544043","1782.695885","312.960085","13.486242","913.867547","132.492544","116210.4206","24475.25887","15052.28185","35192.83805","74797.65916","125592.5422","74451.13953","73264.36996","83812.59122","226801.874","5476.414527","115927.3517","58400.68194","85915.47956","36713.01491","90455.06319","37703.33992","20604.42043","228008.1948","48760.04198","44742.11267","29309.66365","87717.26956"
"27","hsa-mir-1-1","0","2.52914","0.092216","0.197956","0.632062","0","17.751152","11.442156","0.933455","10.894231","0.825657","1.171707","8.06874","15.793769","0.56723","0.503505","74.629258","0.151666","1.51461","0.36718","0.179817","13.824109","4.779673","0.6272","5.230288","0.990712","0.533645","2.551051","5.474575","1.016879","3.300736","0.445556","1.955882","0.198442","0","0.953496","0.288173","0.133454","2.122076","0.509608","0.182561","1.371288","4.140785","0","1.233232","0.319435"
"28","hsa-mir-1178","0","0","0","0","0","0","0","0","0.155576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","hsa-mir-1179","0","0.153281","1.291019","0.791824","1.264124","0","0.293407","0","0.311152","1.77348","0.165131","2.929266","0.350815","0.108923","0.756306","0.201402","0.161886","1.061659","0","0.734361","0","0.335537","0.191187","0","0","0.594427","4.269162","0","0","0.112987","0.412592","0.891113","0.209559","0.992212","0","2.38374","1.15269","0","0","0","1.643052","0.304731","0.460087","0","0.784784","0.159717"
"30","hsa-mir-1180","48.565274","13.335464","1.752097","92.841357","4.898482","18.746514","12.469818","2.746117","5.911882","2.786896","8.586829","18.161452","0.584691","16.229459","4.91599","0.805607","0.809428","3.79164","22.719149","14.320035","26.073401","5.301479","8.412225","74.950388","46.07635","39.826617","83.782307","73.413572","36.711854","9.490871","72.203596","49.902327","94.930144","76.797203","59.841439","71.988955","99.995879","26.157046","13.793491","244.10218","311.267083","41.443375","51.529767","72.709486","56.840783","39.450195"
"31","hsa-mir-1181","1.079228","0.229922","0.553294","0.791824","1.106109","2.343314","0","0.915372","0.155576","0.506708","0.495394","0.585853","0.584691","0.217845","1.701689","0.302103","1.295085","0.909994","0","0","1.798166","0.402644","2.48543","1.2544","0","1.188854","0","1.1338","0","0.564933","0","0.297038","0.069853","1.587539","0.762311","0.953496","1.15269","0.667272","2.652594","1.019216","0.730245","0.457096","0.460087","0","0.224224","0.159717"
